Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
34.3200,200.0918,200.3380,3077.3611,0.0000,0.0000,28.1847
34.4400,200.0888,200.3436,3077.3611,0.0000,0.0000,28.1847
34.5600,200.0859,200.3491,3077.3611,0.0000,0.0000,28.1847
34.6800,200.0825,200.3553,3077.3611,0.0000,0.0000,28.1847
34.8000,200.0797,200.3605,3077.3611,0.0000,0.0000,28.1847
34.9200,200.0774,200.3648,3077.3611,0.0000,0.0000,28.1847
35.0400,200.0751,200.3691,3077.3611,0.0000,0.0000,28.1847
35.1600,200.0728,200.3734,3077.3611,0.0000,0.0000,28.1847
35.2800,200.0706,200.3777,3077.3611,0.0000,0.0000,28.1847
35.4000,200.0683,200.3820,3077.3611,8.4000,0.0000,28.4921
35.5200,200.0659,200.3862,3077.3611,0.0000,0.0000,28.4921
35.6400,200.0636,200.3905,3077.3611,0.0000,0.0000,28.4921
35.7600,200.0610,200.3954,3077.3611,0.0000,0.0000,28.4921
35.8800,200.0588,200.3994,3077.3611,8.4000,0.0000,28.8241
36.0000,200.0566,200.4033,3077.3611,0.0000,0.0000,28.8241
36.1200,200.0545,200.4072,3077.3611,0.0000,0.0000,28.8241
36.2400,200.0523,200.4112,3077.3611,0.0000,0.0000,28.8241
36.3600,200.0501,200.4151,3077.3611,8.4000,0.0000,29.1561
36.4800,200.0479,200.4191,3077.3611,16.8000,0.0000,29.8349
36.6000,200.0457,200.4230,3077.3611,25.2000,0.0000,30.8928
36.7200,200.0434,200.4268,3077.3611,33.6000,0.0000,32.3866
36.8400,200.0410,200.4306,3077.3611,0.0000,0.0000,32.3866
36.9600,200.0386,200.4344,3077.3611,8.4000,0.0000,32.7186
37.0800,200.0361,200.4382,3077.3611,0.0000,0.0000,32.7186
37.2000,200.0333,200.4426,3077.3611,0.0000,0.0000,32.7186
37.3200,200.0309,200.4464,3077.3611,0.0000,0.0000,32.7186
37.4400,200.0285,200.4502,3077.3611,0.0000,0.0000,32.7186
37.5600,200.0256,200.4546,3077.3611,0.0000,0.0000,32.7186
37.6800,200.0228,200.4590,3077.3611,0.0000,0.0000,32.7186
37.8000,200.0196,200.4640,3077.3611,0.0000,0.0000,32.7186
37.9200,200.0164,200.4690,3077.3611,0.0000,0.0000,32.7186
38.0400,200.0132,200.4740,3077.3611,0.0000,0.0000,32.7186
38.1600,200.0096,200.4796,3077.3611,0.0000,0.0000,32.7186
38.2800,200.0060,200.4852,3077.3611,0.0000,0.0000,32.7186
38.4000,200.0020,200.4914,3077.3611,0.0000,0.0000,32.7186
38.5200,199.9986,200.4967,3077.3611,0.0000,0.0000,-32.7186
38.6400,200.0024,200.5026,3077.3611,0.0000,0.0000,-32.7186
38.7600,200.0056,200.5076,3077.3611,0.0000,0.0000,-32.7186
38.8800,200.0088,200.5126,3077.3611,8.4000,0.0000,-32.4671
39.0000,200.0120,200.5176,3077.3611,0.0000,0.0000,-32.4671
39.1200,200.0156,200.5232,3077.3611,0.0000,0.0000,-32.4671
39.2400,200.0186,200.5279,3077.3611,0.0000,0.0000,-32.4671
39.3600,200.0216,200.5326,3077.3611,0.0000,0.0000,-32.4671
39.4800,200.0245,200.5373,3077.3611,0.0000,0.0000,-32.4671
39.6000,200.0270,200.5411,3077.3611,0.0000,0.0000,-32.4671
39.7200,200.0298,200.5455,3077.3611,8.4000,0.0000,-32.1809
39.8400,200.0325,200.5499,3077.3611,16.8000,0.0000,-31.5957
39.9600,200.0353,200.5544,3077.3611,0.0000,0.0000,-31.5957
40.0800,200.0376,200.5582,3077.3611,0.0000,0.0000,-31.5957
40.2000,200.0400,200.5621,3077.3611,0.0000,0.0000,-31.5957
40.3200,200.0427,200.5665,3077.3611,0.0000,0.0000,-31.5957
40.4400,200.0451,200.5703,3077.3611,0.0000,0.0000,-31.5957
40.5600,200.0474,200.5742,3077.3611,0.0000,0.0000,-31.5957
40.6800,200.0498,200.5780,3077.3611,8.4000,0.0000,-31.2637
40.8000,200.0521,200.5818,3077.3611,0.0000,0.0000,-31.2637
40.9200,200.0545,200.5857,3077.3611,8.4000,0.0000,-30.9317
41.0400,200.0568,200.5896,3077.3611,0.0000,0.0000,-30.9317
41.1600,200.0591,200.5934,3077.3611,8.4000,0.0000,-30.5997
41.2800,200.0614,200.5973,3077.3611,16.8000,0.0000,-29.9209
41.4000,200.0636,200.6012,3077.3611,25.2000,0.0000,-28.8629
41.5200,200.0658,200.6051,3077.3611,0.0000,0.0000,-28.8629
41.6400,200.0683,200.6097,3077.3611,0.0000,0.0000,-28.8629
41.7600,200.0712,200.6149,3077.3611,0.0000,0.0000,-28.8629
41.8800,200.0741,200.6201,3077.3611,0.0000,0.0000,-28.8629
42.0000,200.0769,200.6253,3077.3611,0.0000,0.0000,-28.8629
42.1200,200.0798,200.6305,3077.3611,0.0000,0.0000,-28.8629
42.2400,200.0827,200.6357,3077.3611,8.4000,0.0000,-28.6114
42.3600,200.0855,200.6409,3077.3611,0.0000,0.0000,-28.6114
42.4800,200.0884,200.6461,3077.3611,0.0000,0.0000,-28.6114
42.6000,200.0912,200.6514,3077.3611,0.0000,0.0000,-28.6114
42.7200,200.0944,200.6572,3077.3611,0.0000,0.0000,-28.6114
42.8400,200.0976,200.6630,3077.3611,0.0000,0.0000,-28.6114
42.9600,200.1008,200.6689,3077.3611,0.0000,0.0000,-28.6114
43.0800,200.1043,200.6754,3077.3611,0.0000,0.0000,-28.6114
43.2000,200.1082,200.6825,3077.3611,8.4000,0.0000,-28.4270
43.3200,200.1120,200.6896,3077.3611,0.0000,0.0000,-28.4270
43.4400,200.1154,200.6958,3077.3611,8.4000,0.0000,-28.2142
43.5600,200.1187,200.7020,3077.3611,0.0000,0.0000,-28.2142
43.6800,200.1215,200.7072,3077.3611,0.0000,0.0000,-28.2142
43.8000,200.1243,200.7124,3077.3611,0.0000,0.0000,-28.2142
43.9200,200.1266,200.7167,3077.3611,0.0000,0.0000,-28.2142
44.0400,200.1289,200.7210,3077.3611,8.4000,0.0000,-27.9067
44.1600,200.1312,200.7253,3077.3611,0.0000,0.0000,-27.9067
44.2800,200.1338,200.7302,3077.3611,0.0000,0.0000,-27.9067
44.4000,200.1364,200.7352,3077.3611,8.4000,0.0000,-27.6390
44.5200,200.1390,200.7401,3077.3611,0.0000,0.0000,-27.6390
44.6400,200.1419,200.7457,3077.3611,0.0000,0.0000,-27.6390
44.7600,200.1452,200.7519,3077.3611,8.4000,0.0000,-27.4262
44.8800,200.1484,200.7581,3077.3611,16.8000,0.0000,-26.9911
45.0000,200.1516,200.7644,3077.3611,0.0000,0.0000,-26.9911
45.1200,200.1551,200.7713,3077.3611,8.4000,0.0000,-26.7980
45.2400,200.1586,200.7782,3077.3611,0.0000,0.0000,-26.7980
45.3600,200.1616,200.7841,3077.3611,0.0000,0.0000,-26.7980
45.4800,200.1646,200.7901,3077.3611,0.0000,0.0000,-26.7980
