# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
306.9563,142.5140,609.9889,1.5708,1.2217,-3.5876
305.6621,139.8075,609.9889,1.5708,1.2217,-3.6775
304.1304,137.2280,609.9889,1.5708,1.2217,-3.7673
302.3734,134.7963,609.9889,1.5708,1.2217,-3.8571
300.4053,132.5321,609.9889,1.5708,1.2217,-3.9470
298.2420,130.4536,609.9889,1.5708,1.2217,-4.0368
295.5888,128.3275,609.9889,1.5708,1.2217,-4.1161
292.7756,126.4181,609.9889,1.5708,1.2217,-4.1954
289.4722,124.5398,609.9889,1.5708,1.2217,-4.2663
286.0441,122.9003,609.9889,1.5708,1.2217,-4.3372
282.1362,121.3613,609.9889,1.5708,1.2217,-4.4014
277.7569,119.9537,609.9889,1.5708,1.2217,-4.4600
273.3026,118.8049,609.9889,1.5708,1.2217,-4.5186
268.3963,117.8420,609.9889,1.5708,1.2217,-4.5725
263.4451,117.1447,609.9889,1.5708,1.2217,-4.6264
259.0614,116.7668,609.9889,1.5708,1.2217,-4.6877
254.2628,116.6481,609.9889,1.5708,1.2217,-4.7438
249.4652,116.7989,609.9889,1.5708,1.2217,-4.8000
244.6836,117.2186,609.9889,1.5708,1.2217,-4.8561
239.9331,117.9061,609.9889,1.5708,1.2217,-4.9123
234.8366,118.9385,609.9889,1.5708,1.2217,-4.9641
229.4130,120.3332,609.9889,1.5708,1.2217,-5.0122
224.0629,121.9872,609.9889,1.5708,1.2217,-5.0603
218.7985,123.8967,609.9889,1.5708,1.2217,-5.1085
214.1856,125.8258,609.9889,1.5708,1.2217,-5.1624
210.2236,127.7396,609.9889,1.5708,1.2217,-5.2236
206.3862,129.8924,609.9889,1.5708,1.2217,-5.2849
202.6878,132.2760,609.9889,1.5708,1.2217,-5.3462
199.6258,134.5263,609.9889,1.5708,1.2217,-5.4171
197.1880,136.5993,609.9889,1.5708,1.2217,-5.5013
195.0742,138.7281,609.9889,1.5708,1.2217,-5.5912
193.1598,141.0379,609.9889,1.5708,1.2217,-5.6810
191.4605,143.5102,609.9889,1.5708,1.2217,-5.7708
189.7937,146.4736,609.9889,1.5708,1.2217,-5.8501
188.5347,149.1967,609.9889,1.5708,1.2217,-5.9400
187.3905,152.3983,609.9889,1.5708,1.2217,-6.0192
186.5034,155.6806,609.9889,1.5708,1.2217,-6.0985
185.8791,159.0228,609.9889,1.5708,1.2217,-6.1778
185.4792,162.8017,609.9889,1.5708,1.2217,-6.2487
185.3482,166.5994,609.9889,1.5708,1.2217,-0.0364
185.5012,170.7966,609.9889,1.5708,1.2217,-0.1006
185.9231,174.9754,609.9889,1.5708,1.2217,-0.1648
186.6121,179.1185,609.9889,1.5708,1.2217,-0.2290
187.6561,183.5984,609.9889,1.5708,1.2217,-0.2876
189.0741,188.3931,609.9889,1.5708,1.2217,-0.3415
190.7485,193.1045,609.9889,1.5708,1.2217,-0.3954
192.4431,197.1650,609.9889,1.5708,1.2217,-0.4566
194.5595,201.4733,609.9889,1.5708,1.2217,-0.5128
196.9144,205.6559,609.9889,1.5708,1.2217,-0.5689
199.7157,210.0368,609.9889,1.5708,1.2217,-0.6208
202.9730,214.5921,609.9889,1.5708,1.2217,-0.6689
206.4456,218.9854,609.9889,1.5708,1.2217,-0.7170
210.3884,223.5080,609.9889,1.5708,1.2217,-0.7619
214.1162,227.4149,609.9889,1.5708,1.2217,-0.8119
217.5989,230.7180,609.9889,1.5708,1.2217,-0.8680
221.2615,233.8205,609.9889,1.5708,1.2217,-0.9242
224.6135,236.3511,609.9889,1.5708,1.2217,-0.9883
227.6199,238.3314,609.9889,1.5708,1.2217,-1.0632
230.2417,239.7896,609.9889,1.5708,1.2217,-1.1530
232.9837,241.0068,609.9889,1.5708,1.2217,-1.2429
236.2025,242.1018,609.9889,1.5708,1.2217,-1.3222
239.1102,242.8401,609.9889,1.5708,1.2217,-1.4120
242.4675,243.3777,609.9889,1.5708,1.2217,-1.4913
245.8567,243.6478,609.9889,1.5708,1.2217,-1.5705
248.8567,243.6486,609.9889,1.5708,1.2217,-1.6604
251.8447,243.3802,609.9889,1.5708,1.2217,-1.7502
254.7965,242.8448,609.9889,1.5708,1.2217,-1.8401
257.6884,242.0467,609.9889,1.5708,1.2217,-1.9299
260.4970,240.9924,609.9889,1.5708,1.2217,-2.0198
263.1997,239.6903,609.9889,1.5708,1.2217,-2.1096
265.7747,238.1510,609.9889,1.5708,1.2217,-2.1994
268.5247,236.1516,609.9889,1.5708,1.2217,-2.2787
271.4117,233.6807,609.9889,1.5708,1.2217,-2.3496
273.6892,231.4328,609.9889,1.5708,1.2217,-2.4339
275.7695,229.0013,609.9889,1.5708,1.2217,-2.5181
277.5212,226.5658,609.9889,1.5708,1.2217,-2.6079
279.0472,223.9829,609.9889,1.5708,1.2217,-2.6978
280.3354,221.2735,609.9889,1.5708,1.2217,-2.7876
281.5139,218.0843,609.9889,1.5708,1.2217,-2.8669
282.4362,214.8118,609.9889,1.5708,1.2217,-2.9462
283.0187,211.8689,609.9889,1.5708,1.2217,-3.0360
283.3349,208.8856,609.9889,1.5708,1.2217,-3.1259
283.3821,205.8860,609.9889,1.5708,1.2217,-3.2157
283.1600,202.8942,609.9889,1.5708,1.2217,-3.3055
282.6051,199.5398,609.9889,1.5708,1.2217,-3.3848
281.7863,196.2399,609.9889,1.5708,1.2217,-3.4641
280.5819,192.6358,609.9889,1.5708,1.2217,-3.5350
279.1252,189.1261,609.9889,1.5708,1.2217,-3.6059
277.4234,185.7285,609.9889,1.5708,1.2217,-3.6769
275.4851,182.4600,609.9889,1.5708,1.2217,-3.7478
273.0922,179.0083,609.9889,1.5708,1.2217,-3.8120
270.4828,175.7173,609.9889,1.5708,1.2217,-3.8761
267.3996,172.3035,609.9889,1.5708,1.2217,-3.9347
264.1218,169.0761,609.9889,1.5708,1.2217,-3.9933
260.6607,166.0461,609.9889,1.5708,1.2217,-4.0519
257.0280,163.2241,609.9889,1.5708,1.2217,-4.1105
